"Article"	"Len"	"BadFreqs"	"Len1"	"Len2"	"Len3"	"Len4"	"Class"
"#перенаправление Блетилла "	2	0	0	0	0	0	"bad"
" '''Брахионидиум''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Америка|Америкалэн сяськаё будос . Дуннеын тодмо ог 72 пӧртэм. Видъёс # '' Brachionidium alpestre '' Luer &amp; R.Vásquez, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 12 (1995). # '' Brachionidium andreettae '' Luer &amp; Hirtz, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 14 (1995). # '' Brachionidium arethusa '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 16 (1995). # '' Brachionidium ballatrix '' Luer &amp; Hirtz, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 18 (1995). # '' Brachionidium brachycladum '' Luer &amp; R.Escobar, Orquideologia 16: 33 (1986). # '' Brachionidium brevicaudatum '' Rolfe, Trans. Linn. Soc. London, Bot. 6: 59 (1896). # '' Brachionidium calypso '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 24 (1995). # '' Brachionidium capillare '' Luer &amp; Hirtz, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 26 (1995). # '' Brachionidium ciliolatum '' Garay, J. Arnold Arbor. 50: 464 (1969). # '' Brachionidium condorense '' L.Jost, Selbyana 25: 11 (2004). # '' Brachionidium cruzae '' L.O.Williams, Brittonia 14: 441 (1962). # '' Brachionidium dalstroemii '' Luer, Lindleyana 1: 170 (1986). # '' Brachionidium deflexum '' L.Jost, Selbyana 25: 13 (2004). # '' Brachionidium dentatum '' Luer &amp; Dressler, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 34 (1995). # '' Brachionidium diaphanum '' Luer &amp; R.Vásquez, Phytologia 55: 175 (1984). # '' Brachionidium dodsonii '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 38 (1995). # '' Brachionidium dressleri '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 40 (1995). # '' Brachionidium ecuadorense '' Garay, Canad. J. Bot. 34: 731 (1956). # '' Brachionidium elegans '' Luer &amp; Hirtz, Orchidee (Hamburg) 37: 23 (1986). # '' Brachionidium ephemerum '' Luer &amp; Hirtz, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 46 (1995). # '' Brachionidium escobarii '' Luer, Lindleyana 1: 172 (1986). # '' Brachionidium filamentosum '' Luer &amp; Hirtz, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 50 (1995). # '' Brachionidium folsomii '' Dressler, Orquideologia 15: 154 (1982). # '' Brachionidium fornicatum '' Luer &amp; Hirtz, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 54 (1995). # '' Brachionidium furfuraceum '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 56 (1995). # '' Brachionidium galeatum '' Luer &amp; Hirtz, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 58 (1995). # '' Brachionidium gonzalesiorum '' Becerra, Arnaldoa 12: 56 (2005). # '' Brachionidium haberi '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 60 (1995). # '' Brachionidium hirtzii '' Luer, Lindleyana 1: 174 (1986). # '' Brachionidium imperiale '' Luer &amp; Hirtz ex Harling &amp; L.Andersson, in Fl. Ecuador 76: 97 (2005). # '' Brachionidium ingramii '' Luer &amp; Dalström, Monogr. Syst. Bot. Missouri Bot. Gard. 61(4): 1 (1996). # '' Brachionidium jesupiae '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 66 (1995). # '' Brachionidium juliani '' Carnevali &amp; I.Ramírez, Ernstia 39: 6 (1986). # '' Brachionidium kuhniarum '' Dressler, Orquideologia 15: 157 (1982). # '' Brachionidium lehmannii '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 72 (1995). # '' Brachionidium longicaudatum '' Ames &amp; C.Schweinf., Bull. Torrey Bot. Club 58: 348 (1931). # '' Brachionidium loxense '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 76 (1995). # '' Brachionidium lucanoideum '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 78 (1995). # '' Brachionidium machupicchuense '' N.Salinas &amp; Christenson, Orchids 71: 717 (2002). # '' Brachionidium meridense '' Garay, Canad. J. Bot. 34: 736 (1956). # '' Brachionidium minusculum '' Luer &amp; Dressler, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 82 (1995). # '' Brachionidium muscosum '' Luer &amp; R.Vásquez, Phytologia 55: 176 (1984). # '' Brachionidium neblinense '' Carnevali &amp; I.Ramírez, Ernstia 39: 9 (1986). # '' Brachionidium operosum '' Luer &amp; Hirtz, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 86 (1995). # '' Brachionidium parvifolium '' (Lindl.) Lindl., Fol. Orchid. 8: 1 (1859). # '' Brachionidium parvum '' Cogn., Repert. Spec. Nov. Regni Veg. 6: 307 (1909). # '' Brachionidium peltarion '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 92 (1995). # '' Brachionidium pepe-portillae '' Luer &amp; Hirtz, Monogr. Syst. Bot. Missouri Bot. Gard. 103: 309 (2005). # '' Brachionidium phalangiferum '' Garay, Canad. J. Bot. 34: 738 (1956). # '' Brachionidium piuntzae '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 96 (1995). # '' Brachionidium polypodium '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 98 (1995). # '' Brachionidium portillae '' Luer, Lindleyana 1: 176 (1986). # '' Brachionidium pteroglossum '' Luer, Phytologia 55: 176 (1984). # '' Brachionidium puraceense '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 104 (1995). # '' Brachionidium pusillum '' Ames &amp; C.Schweinf., Schedul. Orchid. 10: 52 (1930). # '' Brachionidium quatuor '' Becerra, Arnaldoa 12: 57 (2005). # '' Brachionidium renzii '' Luer, Lindleyana 11: 118 (1996). # '' Brachionidium restrepioides '' (Hoehne) Pabst, Orchid. Bras.: 166 (1975). # '' Brachionidium rugosum '' Luer &amp; Hirtz, Lindleyana 1: 178 (1986). # '' Brachionidium satyreum '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 112 (1995). # '' Brachionidium serratum '' Schltr., Repert. Spec. Nov. Regni Veg. 9: 164 (1911). # '' Brachionidium sherringii '' Rolfe, Bull. Misc. Inform. Kew 1893: 4 (1893). # '' Brachionidium simplex '' Garay, Canad. J. Bot. 34: 741 (1956). # '' Brachionidium stellare '' Luer &amp; Hirtz, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 120 (1995). # '' Brachionidium syme-morrisii '' Luer, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 122 (1995). # '' Brachionidium tetrapetalum '' (F.Lehm. &amp; Kraenzl.) Schltr., Repert. Spec. Nov. Regni Veg. Beih. 7: 241 (1920). # '' Brachionidium tuberculatum '' Lindl., Fol. Orchid. 8: 6 (1859). # '' Brachionidium uxorium '' Luer &amp; R.Vásquez, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 130 (1995). # '' Brachionidium valerioi '' Ames &amp; C.Schweinf., Schedul. Orchid. 10: 53 (1930). # '' Brachionidium vasquezii '' Luer, Phytologia 55: 177 (1984). # '' Brachionidium yanachagaensis '' Becerra, Arnaldoa 12: 56 (2005). # '' Brachionidium zunagense '' Luer &amp; Hirtz, Monogr. Syst. Bot. Missouri Bot. Gard. 57: 136 (1995). "	857	5	0	1	0	0	"bad"
"#перенаправление Брахионидиум "	2	0	0	0	0	0	"bad"
" '''Брахистеле''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Америка|Америкалэн сяськаё будос . Дуннеын тодмо ог 21 пӧртэм. Видъёс * '' Brachystele arechavaletae '' (Kraenzl.) Schltr. * '' Brachystele bicrinita '' Szlach. * '' Brachystele bracteosa '' (Lindl.) Schltr. * '' Brachystele burkartii '' M.N.Correa * '' Brachystele camporum '' (Lindl.) Schltr. * '' Brachystele chlorops '' (Rchb.f.) Schltr. * '' Brachystele cyclochila '' (Kraenzl.) Schltr. * '' Brachystele delicatula '' (Kraenzl.) Schltr. * '' Brachystele dilatata '' (Lindl.) Schltr. * '' Brachystele guayanensis '' (Lindl.) Schltr. * '' Brachystele luzmariana '' Szlach. &amp; R.González * '' Brachystele maasii '' Szlach. * '' Brachystele oxyanthos '' Szlach. * '' Brachystele pappulosa '' Szlach. * '' Brachystele pedicellata '' (Cogn.) Garay * '' Brachystele scabrilingua '' Szlach. * '' Brachystele subfiliformis '' (Cogn.) Schltr. * '' Brachystele tamayoana '' Szlach., Rutk. &amp; Mytnik * '' Brachystele unilateralis '' (Poir.) Schltr. * '' Brachystele waldemarii '' Szlach. * '' Brachystele widgrenii '' (Rchb.f.) Schltr. "	117	5	0	1	0	0	"bad"
"#перенаправление Брахистеле "	2	0	0	0	0	0	"bad"
" '''Брэмия''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Америка|Америкалэн сяськаё будос . "	10	5	0	0	0	0	"bad"
"#перенаправление Брэмия "	2	0	0	0	0	0	"bad"
" '''Брассия''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Америка|Америкалэн сяськаё будос . Дуннеын тодмо ог 34 пӧртэм. Видъёс * '' Brassia angustilabia ''
* '' Brassia antherotes ''
* '' Brassia arachnoidea ''
* '' Brassia arcuigera '' * '' Brassia aurorae '' * '' Brassia bidens '' * '' Brassia boliviensis ''
* '' Brassia caudata '' * '' Brassia cauliformis '' * '' Brassia chloroleuca '' * '' Brassia cochleata ''
* '' Brassia cyrtopetala ''
* '' Brassia filomenoi ''
* '' Brassia gireoudiana '' * '' Brassia helenae ''
* '' Brassia huebneri ''
* '' Brassia iguapoana ''
* '' Brassia jipijapensis '' * '' Brassia josstiana ''
* '' Brassia koehlerorum '' * '' Brassia lanceana '' * '' Brassia maculata '' * '' Brassia neglecta '' * '' Brassia pascoensis ''
* '' Brassia peruviana '' * '' Brassia rhizomatosa ''
* '' Brassia signata '' * '' Brassia suavissima ''
* '' Brassia thyrsodes ''
* '' Brassia transamazonica ''
* '' Brassia verrucosa '' * '' Brassia villosa ''
* '' Brassia wageneri '' * '' Brassia warszewiczii '' Гибридъёс * ×'' Alexanderara '' (''Brassia'' x '' Cochlioda '' x '' Odontoglossum '' x ''Oncidium'')
* ×'' Aliceara '' (''Brassia'' x '' Miltonia '' x ''Oncidium'')
* ×'' Bakerara '' (''Brassia'' x ''Miltonia'' x ''Odontoglossum'' x ''Oncidium'')
* ×'' Banfieldara '' ('' Ada (orchid)|Ada '' x ''Brassia'' x ''Odontoglossum'' )
* ×'' Beallara '' (''Brassia'' x ''Cochlioda'' x ''Miltonia'' x ''Odontoglossum'' )
* ×'' Brapasia '' ('' Aspasia '' x ''Brassia'')
* ×'' Brassada '' (''Ada'' x ''Brassia'')
* ×'' Brassidium '' (''Brassia'' x ''Oncidium'')
* ×'' Brassioda '' (''Brassia'' x ''Cochlioda'')
* ×'' Brassochilus '' (''Brassia'' x '' Leochilus '')
* ×'' Brilliandeara '' (''Aspasia'' x ''Brassia'' x ''Cochlioda'' x ''Miltonia'' x ''Odontoglossum'' x ''Oncidium'')
* ×'' Crawshayara '' (''Aspasia'' x ''Brassia'' x ''Miltonia'' x ''Oncidium'')
* ×'' Degarmoara '' (''Brassia'' x ''Miltonia'' x ''Odontoglossum'' )
* ×'' Derosaara '' (''Aspasia'' x ''Brassia'' x ''Miltonia'' x ''Odontoglossum'' )
* ×'' Duggerara '' (''Ada'' x ''Brassia'' x ''Miltonia'')
* ×'' Eliara '' (''Brassia'' x '' Oncidium '' x '' Rodriguezia '')&lt; * ×'' Forgetara '' (''Aspasia'' x ''Brassia'' x ''Miltonia'')
* ×'' Goodaleara '' (''Brassia'' x ''Cochlioda'' x ''Miltonia'' x ''Odontoglossum'' x ''Oncidium'')
* ×'' Hamiltonara '' (''Ada'' x ''Brassia'' x ''Cochlioda'' x ''Odontoglossum'' )
* ×'' Johnkellyara '' (''Brassia'' x ''Leochilus'' x ''Oncidium'' x ''Rodriguezia'')
* ×'' Maclellanara '' (''Brassia'' x ''Odontoglossum'' x ''Oncidium'')
* ×'' Miltassia '' (''Brassia'' x ''Miltonia'')
* ×'' Norwoodara '' (''Brassia'' x ''Miltonia'' x ''Oncidium'' x ''Rodriguezia'')
* ×'' Odontobrassia '' (''Brassia'' x ''Odontoglossum'')
* ×'' Pettitara '' (''Ada'' x ''Brassia'' x ''Oncidium'')
* ×'' Roccaforteara '' (''Aspasia'' x ''Brassia'' x ''Cochlioda'' x ''Odontoglossum'')
* ×'' Rodrassia '' (''Brassia'' x ''Rodriguezia'')
* ×'' Rohriara '' (''Ada'' x ''Aspasia'' x ''Brassia'')
* ×'' Sanderara '' (''Brassia'' x ''Cochlioda'' x ''Odontoglossum'')
* ×'' Sauledaara '' (''Aspasia'' x ''Brassia'' x ''Miltonia'' x ''Oncidium'' x ''Rodriguezia'')
* ×'' Schafferara '' (''Aspasia'' x ''Brassia'' x ''Cochlioda'' x ''Miltonia'' x ''Odontoglossum'')
* ×'' Shiveara '' (''Aspasia'' x ''Brassia'' x ''Odontoglossum'' x ''Oncidium'')
* ×'' Wingfieldara '' (''Aspasia'' x ''Brassia'' x ''Odontoglossum'') "	409	5	0	1	0	0	"bad"
"#перенаправление Брассия "	2	0	0	0	0	0	"bad"
" '''Бромхэдия''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Азия|Азилэн но Океания|Океанилэн сяськаё будос . Дуннеын тодмо ог 30 пӧртэм. Видъёс * '' Bromheadia alticola '' * '' Bromheadia annamensis '' * '' Bromheadia aporoides '' * '' Bromheadia borneensis '' * '' Bromheadia brevifolia '' * '' Bromheadia cecieliae '' * '' Bromheadia coomansii '' * '' Bromheadia crassiflora '' * '' Bromheadia devogelii '' * '' Bromheadia divaricata '' * '' Bromheadia ensifolia '' * '' Bromheadia falcifolia '' * '' Bromheadia finlaysoniana '' * '' Bromheadia gracilis '' * '' Bromheadia graminea '' * '' Bromheadia grandiflora '' * '' Bromheadia humilis '' * '' Bromheadia latifolia '' * '' Bromheadia lohaniensis '' * '' Bromheadia longifolia '' * '' Bromheadia pendek '' * '' Bromheadia pulchra '' * '' Bromheadia pungens '' * '' Bromheadia robusta '' * '' Bromheadia rupestris '' * '' Bromheadia scirpoidea '' * '' Bromheadia srilankensis '' * '' Bromheadia tenuis '' * '' Bromheadia truncata '' "	105	5	0	2	0	0	"bad"
"#перенаправление Бромхэдия "	2	0	0	0	0	0	"bad"
" '''Бругтония''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Америка|Америкалэн сяськаё будос . Дуннеын тодмо ог 6 пӧртэм. Видъёс * '' Broughtonia cubensis '' Куба * '' Broughtonia domingensis '' Hispaniola, Mona Island, Puerto Rico
* '' Broughtonia lindenii '' Куба но Bahamas
* '' Broughtonia negrilensis '' Ямайка
* '' Broughtonia ortgesiana '' Куба * '' Broughtonia sanguinea '' Ямайка "	46	5	0	2	0	3	"bad"
"#перенаправление Бругтония "	2	0	0	0	0	0	"bad"
" '''Бульбофиллюм''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Азия|Азилэн но Америка|Америкалэн сяськаё будос . Дуннеын тодмо ог 1803 пӧртэм. Синонимъёс * Hkr. 1825.
* Rchb.f 1852.
* Spreng. 1826.
* Bl. 1825.
* Lindley 1852.
* Bl. 1825.
* Blume 1825.
* Bl. 1825.
* Bl. 1828.
* Neraud. 1826.
* Hkr.f 1890.
* A. D. Hawkes 1956.
* Lindl. 1830.
* A. Rich. 1834.
* Lindley 1839.
* Lindley 1826.
* Breda 1827.
* Bl. 1825.
* Wight 1851.
* Thou. 1822.
* Lindley &amp; Paxton 1850.
* Breda 1828.
* Lindley 1826.
* Rchb.f. 1852.
* Lindley 1824.
* Rchb.f 1852.
* Reinw. 1826 1828 . "	105	5	0	2	0	0	"bad"
"#перенаправление Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
"#REDIRECT Бульбофиллюм "	2	0	0	0	0	0	"bad"
