"Article"	"Len"	"BadFreqs"	"Len2"	"Len3"	"Len4"	"Class"
"'''Мокшень лемсь''' - мокшень лемгярькссь, конась ащи пяк кунардонь, тага тюркань, славянонь, арабонь и иля лепнень эзда. Мокшень лепт = Мокшень фамилият =
Мокшень фамилиятне ащихть национальнай валъюрста: Каниськина, Кирдяпкин, Меркушкин, Савушкин и т. п. Тага ватт
* Мокшень кристианонь лепне * Мокшень кристозшида инголень лепне Литература * '' Мокшин, Николай Фёдорович|Мокшин Н. Ф. '' Тайны мордовских имён: (Исторический ономастикой мордовского народа). — Саранск: Мордов. кн. изд-во. — 1991. — 112 с.
* '' Мокшин, Николай Фёдорович|Мокшин Н. Ф. '' Мордовско-татарские этнические связи / Н. Ф. Мокшин // Гуманитарные науки и образование: проблемы и перспективы. Материалы I Сафаргалиев, Магамет Гарифович|Сафаргалиевских науч. чтений / МГУ им. Н. П. Огарева. — Саранск, 1997. — С. 27-36.
* (обл.) Ссылки МОРДОВСКИЕ ИМЕНА Мокшанские имена ЭРЗЯНСКИЕ И МОКШАНСКИЕ ИМЕНА И ФАМИЛИИ ИМЯНАРЕЧЕНИЕ "	123	7	2	5	7	"good"
" '''Ламбафтома''' - ламбама почфсь, яжафтови розьста, шужста. Ламбафтомась эряви позань, шужведень тиема. "	11	0	0	0	0	"bad"
" '''Камбразгал''' ( ; илякс '''сазан''') — кал, камбразгалонь тналоннетнень эзда фкясь. Кучфтемат Камбразгал "	12	0	0	1	1	"bad"
" '''Шуварбек''' ( ; илякс '''шуварпеконя''', '''шуварин''') — кал, сазанонь тналоннетнень эзда фкясь. Кучфтемат Шуварбек "	13	0	0	1	1	"bad"
" '''Кяряка''' ( ; илякс '''курда''', '''алдарига''') — кал, сазанонь тналоннетнень эзда фкясь. Кучфтемат Сиянь эди зирнянь кярякат "	16	0	0	2	1	"good"
" '''Куйкал''' ( ) — кал, куйкалонь тналоннетнень эзда фкясь. Кучфтемат Ляень куйкал "	11	0	0	1	1	"bad"
" '''Сярьге''' ( ) — кал, сазанонь тналоннетнень эзда фкясь. Кучфтемат Сазаноннетнень колга "	11	0	0	1	1	"bad"
"'''Карьялань пуромкс''' ( ) — карьялань ломаньтналонь пуромкссь. Ушетфоль 1993 кизоня. Оцюняц Григорьев Анатоли. Ушеширень кучфтемат Карьялань пуромкс Карьялань пуромксть колга Карьялань эрямопингоц "	22	0	0	0	0	"good"
" '''Ленгарь''' Очерки по истории формирования мордовских письменно литературных языков / А.П. Феоктистов. — Саранск: Мордов. кн. изд во, 2008. — 392 с.ISBN 978 — 5 — 7595 — 1753 — 5 - ёмла пулофтомась (Bufonidae), ведьса-калгодьксса эряйхнень полгаста фкясь. Ронгоняц кели, нюрьхкяня, ди лапш. Эзрай ленгарьхнень пулосна ашет. = Лятфтамат = "	50	0	4	2	4	"good"
" '''Сире Чечкаб''' ( ) - Татархт|татаронь велесь Татармастор са, Кайбыч районца. 2010 кизоня Чечкабса лувондовсь 441 велеряй. "	15	0	1	0	1	"good"
" '''Парца''' ( ) - ляй Мордовия|Мордовияса ди Пенза аймак|Пенза Аймакса , Рузмастор|Рузмасторса . Ушеды Пензань аймакса, шуди Зубунь район|Зубунь район -ца, прашенды Вад (ляй)|Вад ляйти види ширде. Парца ляйть търваса ащи Зубу ошсь. Ляйть кувалмоц — 117 вайгяльбе. "	34	1	2	3	4	"good"
"Мордовский скороход Сергей Кирдяпкин прославился на чемпионате мира по легкой атлетике в Хельсинки в 2005 году. Он блестяще прошел дистанцию 50 км и завоевал золотую медаль. Начал заниматься спортом в городе Инсаре, где родился 16 января 1980 года. Он увлекся легкой атлетикой и пришел в ДЮСШ к молодому тренеру А.Н.Наумкину. Это было в 1992 году. Несколько лет он бегал на средние дистанции, но хороших результатов не показывал. В 1997 году Сергей поступает на химический факультет МГУ им.Н.П.Огарева. В это время А.Н.Наумкин переехал в Саранск. Сергей Кирдяпкин под руководством своего тренера продолжал заниматься бегом. Но со временем он понял, что здесь больших достижений у него не будет, и решил перейти на спортивную ходьбу. Год тренировался у супругов Начаркиных, в 2001 году его тренером становится В.М.Чегин. К чемпионату мира в 2005 году С.Кирдяпкин подготовился неплохо. Тренер, напутствуя, сказал, что все зависит от него, от его возможности бороться на дистанции с полной выкладкой, и главное, распределить свои силы так, чтобы не «перегореть» раньше времени. И молодой спортсмен шел четко по своему графику. Соперники стали отставать. За 10–12 км до финиша он шел на одном волевом настрое, а когда осталось 300 метров и он услышал рев трибун, то вдруг ощутил прилив сил и ускорил ход. Сразу после победы спортсмен даже не почувствовал усталости, а ходил с российским флагом, символически причисляя свою победу к славе страны. В спортивном сезоне 2005 года Сергей Кирдяпкин был в числе лучших легкоатлетов России. Он занимал третье место следом за рекордсменкой мира в прыжках с шестом Еленой Исинбаевой и рекордсменкой планеты в беге на 400 м Юлией Печенкиной. А среди мужчин ему не было равных в спортивном рейтинге того года. Кроме победы на чемпионате мира в Хельсинки, в его спортивной копилке и другие победы: золото чемпионата России (2001), победа в Кубке России (2003), а также в Кубке Европы (2005, Венгрия). В свободное от спорта время Сергей Кирдяпкин читает книги, особенно любит исторические романы. В детстве увлекался рыбалкой, но сейчас на это занятие не хватает времени."	325	0	37	22	23	"good"
"'''Салдоркс''' — салонь ванфтома кядьгоня. Мокшетне и эрзятне кунардонь пингста салдоркст тиендсть шуфтста. Ульсть эрь кодапт: оцюфт, ёмлат, тифт керьсефкаста, мазыста. Ульсть оцю С.: синь керсезь шуфтста парьня лаца, тяфтамса салсь ванфневсь сяда лама пингс. Ульсть С., конат вяри варяняда повфневсть мъргаса. Тиендсть ляпе шуфтста, пяшеста пяше жуватань, нармонень пряня лаца кундамка мархта салдоркст. Тиендсть яксяргоня яксярга лаца: тяфтапнень путнезь шра лангс, кшить ваксс. "	64	1	0	3	10	"good"
"'''Савва веле''' - мокша велесь Мордовия|Мордовия республикса Мокша мастор|Мокша масторса , Тарбеень район|Тарбеень районца Тарбей|Тарбеюса . Эряйда 211 ломань (2001 к.) Ащи 13 вайгяльбет райононь кучкать и 3 вайгяльбет Вихрова Вихрово арнема кинь лотксема вастть эзда. Велеть лемоц: азоронц мурзать Савва Иванович Мокшадеев онь эзда, тянь колга пачфниви ;1677 к. Пензань десятнаса;. ;Тамбовонь губерниянь велетнень лувксса; (1866) Саввась - азоронь веле 83 кудпирьфса, 580 ломань. "	61	2	0	2	6	"good"
" '''Нижняй Новгород''' ( ) - ошсь Рузмастор|Рузмасторонь Федерациеса , Нижняй Новгородань аймакть пряошец. Эряйхне: 1.254.592 (2012 к.). Ляйхне:
* Рава (ляй)|Рава ;
* Ока (ляй)|Ока . "	21	0	0	1	2	"good"
"'''Гуляев, Николай''' ( ) ( 7. 2. 1914, тяниень Мордовиянь Краснослободск ошсь -1988, Калинин ошсь) - мокшень кяльвалонь содайсь. Филологиень тонадомань доктор (1955 к.). профессор (1956). Эряфонь киц Шачсь учителень тналса, сёрмадсь рузонь кяльса. Аделазень Ленинградонь педагогикань институтть (1938 к.), аспирантурать. 1930 кк. ушетксста покодсь МАССр-нь Краслободскяень и Ельникань райононь школатнень эса. Ульсь ВОВ-са. Армияста нолдафоль 1947 - це к. 1948- 59 кк. доцент: покоди Томск ошень государствань инь сери тонафнема вастса, рузонь и омба масторонь кяльвалонь содай кафедрати пряфтокс. 1959-1970 кк. профессор, покоди Казань ошень государствань инь серитонафнема вастса, рузонь и омба масторонь кяльвалонь содай кафедраса пряфт, филологиянь факультетонь оцюня. 1971- 1988 кк. - проректор. Калинин ошень государствань инь сери тонафтема вастса. кяльвалонь содаень кафедраса пряфтсь. Лемоц содаф 1960-це кк. ушетксста кода художествань методонь и стилень тонафни. Кирдсь соткст содай ломаттнень Черапкин, Кола , Горбунов В. В. , Сетин Ф. И. -ттнень мархта. "	137	3	6	5	8	"good"
"
'''Ёжка''' ( )- велесь Мордовия|Мордовияса , Лашмонь район|Лашмань районца , ащи Кирпичёвка ляйть лангса, 20 вайгяльбет райононь кучкать эзда и Ковылкина машина арнема кинь лотксема вастть эзда. Велеть эрямопингоц Велеть лемоц: васенце эряйть мокшеть кстиндамда ингольдень лемоцоль Ёже (Ёжка). ;Пензань губерниянь ошнень и велетнень лувксса; (1869) Ежкась -веленя 75 кудпирьфста, 556 ломань. 1913-це к. велеса 129 кудпирьфоль,900 ломань. 1930-це к. - 210 кудпирьф, 1161 ломань. Велеса ;Ежовонь; лемса калонь касфнема питомниксь. Лятфтамат
#;Мокша; журналсь, л. 94 "	72	0	0	2	5	"good"
"'''Лушкина, Елена''' ( ) шачсь 1. 4. 1969 к. — Мокшава. Гимнаст. Шачсь Саранош|Сараношса , Мордовия|Мордовия республикаса . Аделазе М. Евсевьевонь лемса МГПИ-ть. 1985-це кизоста сявомок - МАССР-нь Госкомспортонь кардай, 1989-це кизоста сявомок - спортонь гимнастикань коряс тонафты. Лушкина Елена сувсесь Советонь Сотксонь спортонь гимнастикань коряс кочкафксс (1985-86 кк.). Сяськондсь Советонь Сотксонь чемпионаттнень эса. Сатозе 2-це вастть Советонь Сотксонь калконь спартакиадать эса (1985 к.), Рузмасторонь Федерациень ломаттнень Спартакиадань абсолютонь чемпион (1986 к.), сяськондсь Ленинград - 85 , Ленинград - 86 народъетконь турнирхнень эса. Арась инь виикс Марнек Сотксонь универсиадать эса (1988 к.), сяськондсь Болгариеса ломаньъетконь пялькстоматнень эса (1984 к.) Индиеса Советонь Сотксонь фестивальса (1986 к.) "	97	0	1	6	1	"good"
"'''Липатов, Василий''' ( 30.7.1928 — 22.11. 1996 ) — Мокша. Содавикс агроном. Шачсь сокаень-видиень тналса Лашма|Лашмань районца , Сире Сомай|Сире Сомай велеса. Аделазень Ленинградонь велень сокамань-видемань институтть (1951 к.), Горькаень сокаень-видиень институтть аспирантуранц (1951 к.). 1951 - це кизоста сявомок покоди Курнанскяй аймакса Шадринскяень совхозонь техникумса тонафтыкс. Сокаень-видиень тонактсонь доктор (1980 к.), профессор (1981 к.), "	51	1	1	0	1	"good"
"'''Заропкась''' ( ) - велесь Мордовия|Мордовия республикса Мокша мастор|Мокша масторса , Зубунь районца. Эряйда 267 ломань ( 2001 ). Тячиень велеть эса - начальнай школа, лавка, медпункт. Велесь васенцеда лятфневи 1674 кизоня кода Керенскяй засечнай чертань служилай мокшень веле. Гражданскяй войнать пингста Заропкать лангса ётасть М. Харитоновонь и Ф. Алексеевонь отрядсна. Лотксесть велети Пугачёвонь ломаненза (1773-1775 кк.) Ащи Чиуша ляйть лангса, 20 вайгяльбе райононь кучкать эзда. Велеть маласа _ Кельгининскяй кунардонь калмама вастсь. Заропка велети сувсихть : Покровскяй Селищат (484 ломань), Каргал (397 ломань), Красовка (13 ломань) велетне. Велеть содавикс ломаненза: тяса шачсть и кассть В. А. Балашов историксь. "	92	2	1	2	4	"good"
"'''Зайця велесь''' ( ) - велесь Мордовия|Мордовия республикса Мокша мастор|Мокша масторса , Краснослободскяй|Краснослободск районца. Эряйда 212 ломань ( 2001 ) Тячиень велеть эса - основной школа, медпункт, библиотека.
1869-це кизоня 63 пирьфоль. 1913 кизоня велеса 101 пирьфоль, 753 ломань. Велеть лемоц. Финцне лувондсазь велеть ушедыекс Зайцефнень. Синь ульсть мокшень служилай ломатть. Тя тяштьф ;1696 к. Пензань десятнясь;, ;1669-1670 Атемаронь десятнясь; эса. Омбонцне велеть лемонц сотнесазь кстиндамда ингольде Сайця мокшень лемть мархта. Ащи Каргонь шяй ( ) ляйть лангса, 18 вайгяльбе Краснослободск - Ковылкина ардома кинь лотксема вастть эзда. Велеть содавикс ломаненза: тяса шачсть Циликин, Николай | Циликин Н. П. мокшень валморонь тяштись. "	94	5	1	4	4	"good"
"'''Аристэ, Пауль ''' ( 03.2. 1905 — 2.2.1990 ) — филологиянь наукань доктор (1939 к.), профессор (1944 к.), Эстониянь НА-нь (1954) и Суоми масторонь НА-нь академик (1969 к.)Эстононь ломань. Шачсь 1905 кизоня 1890 кизоня Эстония|Эстонияса . Тонафнесь Тартунь ниверситетса (1930 к.). 1946 - це кизоня университетса тинь финно-угроведениянь исследованиянь центра, коса и покодсь сембе эряфонц пингс. 1950 кизоста сявомок сонь ушетксонц корява кармасть аноклама финно-угрань кяльхнень корява содай ломатть Россиянь наукань центратненди. Пауль Аристэ содась 40 кяль. Шкооланц ётазь мокшэрзянь 4 докторхт, наукань 40 кандидатт. 1968 кизоня Пауль Аристэ ульсь Ичалкань райононь велетнень эса, Мордовиянь государствань университетть эса лувсть специальнай курсат мокшень и эрзянь кяльхнень мархта сотф кизефкснень корява. Венгриянь НА-нь почетнай член, венгрань филологиянь народъетконь обществань, американь лингвистическяй финно-угрань обществань, ;Калевала; обществань, Суоми масторонь и Эстониянь НА-нь , шачема краень обществань почетнай член. Сегед ошень, Хельсинкань, и тамперонь университетонь почетнай доктор. Казьф Трудонь Якстерь Знамяса и Народонь ялгксшинь орденца, МАССР-нь ВС-нь Президиумонь Почетонь грамотаса. "	150	5	1	2	7	"good"
"'''Итконен Еркки''' ( ). (26.4.1913, Инари ош, Лапландия - 29.5.1992, Хельсинки, Суоми мастор). Финно-угровед. Профессор (1956 к.). Суоми масторонь НА-нь член (1964 к.)
Итконень - суоми масторонь учёнай историянь-фонетикань школаса. Итконен сембе ширде ванозень мокшень кяльса редуцированнай гласнайхнень. 1952 - 1956 кк. покоди секретарькс, 1956 кк - вице президент,а 1968 - 79 кк. - финно-угрань обществати оцюня, 1959- 67 кк. - финно-угрань культурань коряс комитетть оцюнянц полафтыец. Кяльвалсь ;Мокша; журналсь. 2010 к. - 10 ковсь. 110-це лопась "	68	5	5	0	2	"good"
"
'''Иордан ''' (Lordanes) (485 к. малава - кулома пингоц аф содаф), готонь историк. Сон - ;Геттнень юрсна и тевсна; (;Gettika;) лемса книгать тяштиец. Тя книгась лац содафоль Европаса кучка векнень. Эсонза васенцеда азфоль ;Mordens; терминць. Иордан тяштезе сонь Германарих готонь корольть азондомстонза. Тя пингть ;morden; валть шарьхкотькшнесаь фкакс ;мокшэрзятне; валть мархта. Васенцекс тянь колга мяльть азозь Т. Моммсен и К. Молленхоф, меле синь ширеснон кирдезь Т.Е. Карстен немецонь фиологсь, А. М. Тальгрен суоми масторонь археологсь, а тяфта жа И. Н. Смирнов,Е.Ч. Скржинская, Б.А. Рыбаков, В. П. Буданова россиянь ученайхне. Лия мяль кирдихть П. Хайду венгрань академиксь и А. Попов рузонь топонимикань коряс ученайсь. Ёфси аф видекс тя мяльть лувсы И. Коркканен суоми масторонь содай ломанць, сонь валонзон корява, ;mordens; - тя оцязоронь сарматтне. Аф фкат мяльхне Иорданонь 116 параграфстонза азф этнонипнен колга. лама кизефкста. мес Иордан сувафнесыне мокшэрзятнень Германарихонь державазонза. Кяльвалсь ;Мокша; журналсь. 2010-це к., 10- це ковсь. 108-це лопась "	146	3	9	7	9	"good"
